"combo.row","rate.l","rate.sig2"
"1",0.46,0.34
"2",0.5,0.28
"3",0.22,0.46
"4",0.14,0.54
"5",0.14,0.34
"6",0.52,0.36
"7",0.38,0.48
"8",0.22,0.4
"9",0.22,0.34
"10",0.12,0.38
"11",0.48,0.4
"12",0.4,0.3
"13",0.28,0.54
"14",0.12,0.34
"15",0.06,0.44
"16",0.42,0.46
"17",0.42,0.38
"18",0.3,0.34
"19",0.2,0.32
"20",0.12,0.48
"21",0.52,0.46
"22",0.42,0.42
"23",0.3,0.42
"24",0.14,0.28
"25",0.06,0.44
"1",0.5,0.38
"2",0.42,0.44
"3",0.22,0.36
"4",0.14,0.38
"5",0.2,0.38
"6",0.62,0.38
"7",0.54,0.48
"8",0.34,0.46
"9",0.16,0.34
"10",0.12,0.62
"11",0.34,0.46
"12",0.4,0.54
"13",0.44,0.36
"14",0.14,0.54
"15",0.12,0.38
"16",0.5,0.5
"17",0.34,0.38
"18",0.32,0.46
"19",0.24,0.34
"20",0.12,0.5
"21",0.46,0.5
"22",0.32,0.42
"23",0.22,0.44
"24",0.12,0.42
"25",0.06,0.46
"1",0.6,0.4
"2",0.48,0.38
"3",0.18,0.42
"4",0.2,0.36
"5",0.1,0.4
"6",0.42,0.36
"7",0.34,0.36
"8",0.28,0.4
"9",0.14,0.4
"10",0.1,0.42
"11",0.48,0.5
"12",0.4,0.42
"13",0.32,0.32
"14",0.16,0.42
"15",0.06,0.46
"16",0.42,0.42
"17",0.44,0.42
"18",0.32,0.56
"19",0.12,0.54
"20",0.08,0.52
"21",0.58,0.44
"22",0.48,0.54
"23",0.22,0.48
"24",0.1,0.48
"25",0.1,0.36
"1",0.5,0.42
"2",0.52,0.38
"3",0.18,0.54
"4",0.12,0.46
"5",0.16,0.26
"6",0.6,0.38
"7",0.4,0.48
"8",0.24,0.52
"9",0.14,0.34
"10",0.08,0.44
"11",0.64,0.4
"12",0.54,0.44
"13",0.24,0.44
"14",0.2,0.44
"15",0.1,0.44
"16",0.42,0.48
"17",0.44,0.5
"18",0.3,0.4
"19",0.26,0.46
"20",0.12,0.5
"21",0.38,0.4
"22",0.5,0.4
"23",0.28,0.46
"24",0.12,0.44
"25",0.12,0.38
"1",0.32,0.36
"2",0.5,0.4
"3",0.2,0.46
"4",0.22,0.48
"5",0.08,0.42
"6",0.5,0.36
"7",0.54,0.54
"8",0.24,0.32
"9",0.14,0.38
"10",0.16,0.4
"11",0.4,0.56
"12",0.46,0.4
"13",0.26,0.3
"14",0.16,0.4
"15",0.12,0.4
"16",0.56,0.44
"17",0.5,0.38
"18",0.2,0.52
"19",0.18,0.38
"20",0.12,0.48
"21",0.62,0.36
"22",0.44,0.46
"23",0.12,0.46
"24",0.2,0.44
"25",0.14,0.34
"1",0.54,0.38
"2",0.44,0.5
"3",0.24,0.48
"4",0.08,0.28
"5",0.06,0.46
"6",0.42,0.48
"7",0.46,0.4
"8",0.32,0.36
"9",0.12,0.4
"10",0.12,0.34
"11",0.52,0.5
"12",0.38,0.3
"13",0.28,0.44
"14",0.16,0.36
"15",0.12,0.54
"16",0.42,0.38
"17",0.42,0.46
"18",0.24,0.34
"19",0.1,0.48
"20",0.12,0.36
"21",0.5,0.4
"22",0.3,0.48
"23",0.22,0.48
"24",0.16,0.48
"25",0.06,0.3
"1",0.42,0.38
"2",0.54,0.48
"3",0.28,0.4
"4",0.14,0.46
"5",0.06,0.34
"6",0.54,0.46
"7",0.42,0.46
"8",0.3,0.54
"9",0.2,0.44
"10",0.1,0.44
"11",0.52,0.46
"12",0.36,0.36
"13",0.22,0.38
"14",0.16,0.52
"15",0.12,0.38
"16",0.4,0.46
"17",0.5,0.48
"18",0.4,0.42
"19",0.26,0.34
"20",0.08,0.4
"21",0.46,0.4
"22",0.48,0.32
"23",0.34,0.34
"24",0.16,0.44
"25",0.14,0.32
"1",0.56,0.34
"2",0.48,0.36
"3",0.24,0.36
"4",0.18,0.6
"5",0.1,0.36
"6",0.52,0.46
"7",0.52,0.46
"8",0.32,0.4
"9",0.18,0.48
"10",0.12,0.34
"11",0.34,0.44
"12",0.44,0.48
"13",0.24,0.38
"14",0.14,0.5
"15",0.08,0.44
"16",0.4,0.48
"17",0.46,0.5
"18",0.24,0.42
"19",0.22,0.26
"20",0.04,0.48
"21",0.46,0.34
"22",0.46,0.36
"23",0.36,0.46
"24",0.26,0.5
"25",0.18,0.52
"1",0.34,0.5
"2",0.44,0.42
"3",0.28,0.48
"4",0.2,0.62
"5",0.14,0.42
"6",0.46,0.5
"7",0.48,0.48
"8",0.22,0.4
"9",0.12,0.48
"10",0.08,0.46
"11",0.48,0.4
"12",0.48,0.42
"13",0.42,0.48
"14",0.14,0.5
"15",0.14,0.46
"16",0.5,0.52
"17",0.44,0.44
"18",0.32,0.48
"19",0.18,0.4
"20",0.06,0.48
"21",0.54,0.38
"22",0.5,0.5
"23",0.34,0.4
"24",0.22,0.5
"25",0.12,0.5
"1",0.48,0.46
"2",0.4,0.38
"3",0.24,0.32
"4",0.2,0.44
"5",0.2,0.54
"6",0.58,0.46
"7",0.46,0.46
"8",0.26,0.42
"9",0.1,0.5
"10",0.14,0.46
"11",0.54,0.32
"12",0.46,0.52
"13",0.32,0.46
"14",0.22,0.48
"15",0.12,0.4
"16",0.6,0.36
"17",0.5,0.3
"18",0.3,0.38
"19",0.18,0.38
"20",0.12,0.5
"21",0.52,0.38
"22",0.58,0.54
"23",0.28,0.46
"24",0.16,0.46
"25",0.08,0.44
